bowler,runs_conceded,balls_bowled,wickets_taken,economy,team
G Candiru,168,168,5.0,6.0,Uganda
G Cengiz,79,55,1.0,8.618181818181817,Turkey
G Chohan,255,162,6.0,9.444444444444445,Philippines
G Coetzee,306,203,10.0,9.044334975369456,South Africa
G Dempsey,148,156,10.0,5.692307692307692,Ireland
G Fatouros,67,60,5.0,6.7,Greece
G Fernando,12,6,0.0,12.0,Bahrain
G Ford,55,59,1.0,5.59322033898305,Isle of Man
G Goudie,30,18,1.0,10.0,Scotland
G Ilarionova,100,61,1.0,9.836065573770492,Bulgaria
G Ingabire,14,12,1.0,7.0,Rwanda
G Ishimwe,99,90,4.0,6.6000000000000005,Rwanda
G Jafta,46,62,4.0,4.451612903225806,South Africa
G Johnson,24,24,0.0,6.0,St Helena
G Kansonkho,24,12,1.0,12.0,Malawi
G Kodali,326,266,13.0,7.353383458646617,United States of America
G Kuthalingham,18,25,1.0,4.32,Turks and Caicos Island
G Madanayake,85,111,2.0,4.594594594594595,Estonia
G Mallett,108,141,15.0,4.595744680851064,Jersey
G Matome,320,413,19.0,4.648910411622276,Botswana
G Mckeon,16,24,0.0,4.0,France
G Morales,44,73,4.0,3.616438356164384,Other
G Motie,468,341,17.0,8.234604105571847,West Indies
G Mubiru,12,6,0.0,12.0,Uganda
G Ngegba,231,240,13.0,5.775,Sierra Leone
G Oliveira,61,49,2.0,7.469387755102041,Brazil
G Ribeiro,14,14,1.0,6.0,Brazil
G Sesay,278,326,29.0,5.116564417177914,Sierra Leone
G Setshwane,55,86,6.0,3.8372093023255816,Botswana
G Shukla,131,197,7.0,3.98984771573604,Sweden
G Singh,102,112,7.0,5.464285714285714,United States of America
G Stewart,110,124,8.0,5.32258064516129,Italy
G Sultana,123,103,4.0,7.16504854368932,India
G Toka,20,18,1.0,6.666666666666667,Papua New Guinea
G Venkateswaran,179,114,6.0,9.421052631578949,Luxembourg
G Wareham,586,631,43.0,5.572107765451664,Australia
G Wetherall,223,265,15.0,5.049056603773585,Jersey
G Wijekoon,89,50,2.0,10.68,Sri Lanka
GA Elwiss,16,18,1.0,5.333333333333333,England
GA Lamb,34,24,2.0,8.5,Zimbabwe
GA Priandana,237,200,13.0,7.11,Indonesia
GA Rogers,52,26,0.0,12.0,Scotland
GA Stuurman,29,14,0.0,12.42857142857143,South Africa
GB Brent,53,44,3.0,7.227272727272727,Zimbabwe
GB Hogg,306,215,4.0,8.539534883720929,Australia
GC Galanis,144,148,9.0,5.837837837837839,Greece
GC Murtaza,527,486,33.0,6.506172839506172,Cambodia
GC Smith,17,6,0.0,17.0,South Africa
GC Tonge,25,24,1.0,6.25,West Indies
GD Arta,357,394,22.0,5.436548223350254,Indonesia
GD Drummond,120,93,4.0,7.741935483870968,Scotland
GD Elliott,87,66,6.0,7.909090909090908,New Zealand
GD McGrath,31,25,3.0,7.439999999999999,Australia
GD Phillips,74,45,0.0,9.866666666666667,New Zealand
GDR Eranga,84,91,5.0,5.538461538461538,Canada
GEM Brealey,65,81,1.0,4.814814814814815,Luxembourg
GES Sullivan,49,48,0.0,6.125,Cook Islands
GF Linde,204,159,11.0,7.69811320754717,South Africa
GG Alta,205,146,12.0,8.424657534246576,Turkey
GH Dockrell,754,696,35.0,6.5,Ireland
GH Lewis,14,14,0.0,6.0,Ireland
GH O'Brien,135,116,5.0,6.982758620689655,Bermuda
GHS Garton,57,25,1.0,13.68,England
GI Gokoel,20,12,0.0,10.0,Suriname
GI Hume,116,82,6.0,8.487804878048781,Ireland
GI Maiden,14,12,1.0,7.0,Scotland
GJ Delany,680,546,28.0,7.472527472527473,Ireland
GJ Maxwell,950,709,33.0,8.039492242595204,Australia
GJ Snyman,12,6,0.0,12.0,South Africa
GJ van Rensburg,25,25,2.0,6.0,Namibia
GJP Kruger,34,26,0.0,7.846153846153847,South Africa
GK Berg,203,152,6.0,8.013157894736842,Italy
GK Diviya,334,457,26.0,4.385120350109409,Singapore
GK Ghalley,13,9,0.0,8.666666666666666,Bhutan
GM Harris,36,42,3.0,5.142857142857142,Australia
GM Muthui,303,261,12.0,6.965517241379311,Kenya
GM Ntambalika,11,13,1.0,5.076923076923077,Malawi
GP Meade,61,56,2.0,6.535714285714285,Italy
