bowler,runs_conceded,balls_bowled,wickets_taken,economy
ATS Silva,101,87,2.0,6.9655172413793105
AU Rashid,1935,1562,81.0,7.432778489116517
AUKDS Kalugala,41,26,2.0,9.461538461538462
AV Lalcheta,101,90,3.0,6.733333333333333
AV Lazarus,18,13,1.0,8.307692307692307
AW Hawkins-Kay,26,19,0.0,8.210526315789474
AY Patel,48,49,2.0,5.877551020408163
AZ Shah,20,12,0.0,10.0
Aakash Chand,69,45,6.0,9.200000000000001
Aamer Jamal,99,52,2.0,11.423076923076923
Aamer Yamin,13,12,1.0,6.5
Aamir Kaleem,576,482,37.0,7.1701244813278
Aamir Lal,135,124,6.0,6.532258064516128
Aarif Sheikh,116,85,5.0,8.188235294117646
Aarnav Patel,54,44,3.0,7.363636363636363
Aaron Jones,111,91,5.0,7.318681318681319
Aarti Priya,120,128,5.0,5.625
Aayan Afzal Khan,308,355,24.0,5.205633802816902
Abbas Afridi,396,293,29.0,8.109215017064846
Abbas Ghani,188,133,12.0,8.481203007518797
Abdul Bashir,90,62,1.0,8.70967741935484
Abdul Majid,87,95,5.0,5.494736842105263
Abdul Majid Abbasi,639,674,37.0,5.688427299703264
Abdul Naser Baluch,142,130,6.0,6.553846153846154
Abdul Razzaq,131,118,10.0,6.6610169491525415
Abdul Salman Khan,13,13,0.0,6.0
Abdul Samad,31,50,4.0,3.7199999999999998
Abdul Waheed,70,60,5.0,7.0
Abdul Wahid,204,150,11.0,8.16
Abdul-Shakoor Rahimzei,53,74,4.0,4.297297297297297
Abdullah Akbarjan,236,210,19.0,6.742857142857143
Abdullah Jasat,138,103,5.0,8.03883495145631
Abdullah Mahmood,91,73,3.0,7.479452054794521
Abdullah Rana,120,95,9.0,7.578947368421052
Abdullah Sheikh,40,26,0.0,9.230769230769232
Abdur Razzak,492,407,23.0,7.253071253071253
Abdur Rehman,48,63,7.0,4.571428571428571
Abeera Waris,55,34,1.0,9.705882352941178
Abhijeet Ahuja,8,12,2.0,4.0
Abhishek Sharma,71,54,2.0,7.888888888888889
Abrar Ahmed,388,319,22.0,7.297805642633229
Absar Khan,8,6,1.0,8.0
Abu Hider,157,90,3.0,10.466666666666667
Abu Jayed,46,27,1.0,10.222222222222221
Abubacarr Kuyateh,139,101,5.0,8.257425742574256
Abul Farhad,233,160,13.0,8.7375
Ada Bhasin,192,232,12.0,4.9655172413793105
Adam Senn,103,116,3.0,5.327586206896552
Adama Kamara,29,30,1.0,5.8
Adil Butt,224,189,14.0,7.111111111111111
Adil Khan,72,67,5.0,6.447761194029851
Aditya Panwar,101,69,6.0,8.782608695652174
Adnan Idrees,409,319,19.0,7.692789968652037
Adnan Mirza,120,86,3.0,8.372093023255815
Adnan Razzaq,75,53,3.0,8.49056603773585
Afida Afthab,33,64,5.0,3.09375
Afif Hossain,121,91,4.0,7.978021978021978
Afif Khattak,25,19,1.0,7.894736842105264
Aftab Hussain,205,205,14.0,6.0
Aftab Kayani,39,32,2.0,7.3125
Agha Salman,63,44,1.0,8.590909090909092
Ahmad Khalid Ahmadzai,58,52,3.0,6.6923076923076925
Ahmad Raza,73,66,2.0,6.636363636363636
Ahmadschah Ahmadzai,24,12,2.0,12.0
Ahmadullah Shinwari,232,214,16.0,6.5046728971962615
Ahmed Aqeel,117,102,4.0,6.88235294117647
Ahmed Baladraf,34,36,4.0,5.666666666666666
Ahmed Daniyal,24,25,2.0,5.76
Ahmed Faiz,16,27,1.0,3.5555555555555554
Ahmed Hassan,49,52,4.0,5.653846153846153
Ahmed Raza,429,404,10.0,6.371287128712872
Ahmed Shehzad,10,6,0.0,10.0
Ahmed Wardak,108,95,8.0,6.821052631578947
Ahmer Bin Nisar,6,6,1.0,6.0
Ahsan Khan,170,104,5.0,9.807692307692307
Ahsan Malik,284,225,18.0,7.573333333333332
Aiman Anwer,530,408,13.0,7.794117647058824
Ainna Hamizah Hashim,606,641,27.0,5.672386895475819
Aishath Meesa Rameez,118,80,3.0,8.850000000000001
Aisya Eleesa,353,367,17.0,5.771117166212534
Aizaz Cheema,89,74,6.0,7.216216216216216
Aizaz Khan,992,846,53.0,7.035460992907801
Ajhar Alam,81,44,1.0,11.045454545454545
Akhil Anil,204,187,11.0,6.545454545454545
Akhil Arjunan,168,140,5.0,7.199999999999999
Akhil Kumar,76,65,4.0,7.015384615384615
Akif Raja,263,235,14.0,6.714893617021277
Akramullah Malikzada,22,12,1.0,11.0
Al Maseera Jahangir,13,19,2.0,4.105263157894737
Al-Amin Hossain,408,336,28.0,7.285714285714285
Alam Nakash,117,93,2.0,7.548387096774194
Aleena Khan,141,101,3.0,8.376237623762375
Alexandros Karvelas,90,74,2.0,7.297297297297297
Ali Abdulla Popalzae,22,18,3.0,7.333333333333334
Ali Dawood,725,704,47.0,6.1789772727272725
Ali Hasan,15,18,0.0,5.0
Ali Hussain,143,90,2.0,9.533333333333333
Ali Khan,413,272,11.0,9.110294117647058
Ali Masood,208,134,10.0,9.313432835820896
Ali Muaaz,1,1,0.0,6.0
Ali Naqi,32,27,0.0,7.111111111111111
Ali Naseer,401,329,23.0,7.31306990881459
Ali Nawaz,135,79,5.0,10.253164556962025
Ali Nayyer,526,437,26.0,7.221967963386727
Ali Rasool,88,38,0.0,13.894736842105264
Ali Saleem,4,6,1.0,4.0
Ali Sheikh,125,108,9.0,6.944444444444445
Ali Waqar,83,72,3.0,6.916666666666666
Ali Yalmaz,125,77,3.0,9.74025974025974
Alice Davis,17,14,1.0,7.285714285714285
Alifiya Sayed,160,179,7.0,5.363128491620111
Alina Aslam,175,207,8.0,5.0724637681159415
Aliya Riaz,314,232,12.0,8.120689655172413
Alok Kapali,12,19,2.0,3.789473684210526
Altaf Gill,59,43,2.0,8.232558139534884
Amal Jacob,167,142,5.0,7.056338028169014
Amalin Sorfina,42,32,0.0,7.875
Amandeep Singh,101,75,6.0,8.08
Amar Sharma,484,401,15.0,7.241895261845388
Amarpal Kaur,180,200,11.0,5.4
Amaya Rajapaksha,16,20,0.0,4.800000000000001
Ameel Mauroof,148,111,7.0,8.0
Ameer Saiyed,45,30,1.0,9.0
Amina Kashif,47,52,2.0,5.423076923076923
Aminata Kamara,349,360,15.0,5.816666666666666
Aminul Islam,51,36,2.0,8.5
Amir Ali,37,31,0.0,7.161290322580646
