bowler,runs_conceded,balls_bowled,wickets_taken,economy
Gaurav Tiwari,241,212,7.0,6.820754716981132
Gayan Munaweera,398,280,18.0,8.528571428571428
Geovanis Uwase,9,29,1.0,1.8620689655172415
Ghayour Ahmad,14,19,0.0,4.421052631578947
Ghulam Abbas Butt,56,44,0.0,7.636363636363637
Ghulam Ahmadi,685,674,38.0,6.097922848664689
Ghulam Fatima,67,55,1.0,7.3090909090909095
Gong Yuting,49,72,2.0,4.083333333333334
Guido Angeletti,97,102,7.0,5.705882352941176
Gulsan Jha,316,257,13.0,7.377431906614786
Gurdeep Singh,16,24,2.0,4.0
Gurpratap Singh,73,71,7.0,6.169014084507042
H Agarwal,238,246,10.0,5.804878048780488
H Beresford-Peirse,62,44,1.0,8.454545454545455
H Bharadwaj,127,161,15.0,4.732919254658386
H Carlyon,172,159,10.0,6.490566037735849
H Celik,69,77,8.0,5.376623376623376
H Chamto,96,122,6.0,4.721311475409836
H Dandapani,49,34,2.0,8.647058823529411
H Dassanayake,3,7,0.0,2.571428571428571
H Deol,44,31,3.0,8.516129032258064
H Deshan,82,78,6.0,6.307692307692308
H Dhavina,329,328,11.0,6.018292682926829
H Doriga,33,21,0.0,9.428571428571429
H Elder,18,23,0.0,4.695652173913044
H Eulenkamp,70,58,3.0,7.241379310344827
H Fennell,329,321,22.0,6.149532710280374
H Gori,22,13,1.0,10.153846153846153
H Graham,17,13,1.0,7.846153846153847
H Hiri,7,12,0.0,3.5
H Hotchandani,273,297,14.0,5.515151515151516
H Ishimwe,567,732,49.0,4.647540983606557
H Karunaratne,15,6,0.0,15.0
H Kaur,235,210,17.0,6.714285714285714
H Kaushik,15,12,1.0,7.5
H Khogiyani,184,136,4.0,8.117647058823529
H Khuttan,52,34,1.0,9.176470588235293
H Klazinge,63,63,6.0,6.0
H Lakov,482,356,16.0,8.123595505617978
H Leko,17,27,1.0,3.7777777777777777
H Lin Aung,248,203,14.0,7.330049261083744
H Lin Oo,112,67,5.0,10.029850746268657
H Little,15,20,0.0,4.5
H Masakadza,47,32,2.0,8.8125
H Mumford,76,88,2.0,5.181818181818182
H Nguyen,21,14,0.0,9.0
H Osinde,73,58,3.0,7.551724137931034
H Patel,23,24,2.0,5.75
H Rashid,112,81,3.0,8.296296296296296
H Rathod,255,235,16.0,6.51063829787234
H Satheedevi,128,77,4.0,9.974025974025974
H Sawaneh,35,25,0.0,8.399999999999999
H Shreya,16,17,0.0,5.647058823529411
H Ssenyondo,656,765,62.0,5.145098039215686
H Thaker,279,272,16.0,6.154411764705882
H Venkataram,155,132,7.0,7.045454545454546
H Virdee,26,12,1.0,13.0
HA Chohan,259,262,18.0,5.931297709923665
HA Daluwatta,25,18,1.0,8.333333333333332
HA Varaiya,94,106,4.0,5.320754716981132
HAG Madhushanka,36,18,0.0,12.0
HAM Samuddika,97,85,3.0,6.847058823529411
HAM Shah,125,135,13.0,5.555555555555555
HASD Siriwardene,448,397,21.0,6.770780856423174
HB Dickson,88,95,5.0,5.557894736842105
HB Shipley,144,83,2.0,10.409638554216867
HC Knight,256,237,9.0,6.481012658227847
HDJ Siegers,235,236,13.0,5.974576271186441
HER Tyler,357,235,11.0,9.114893617021277
HF Gurney,26,24,3.0,6.5
HH Aung,71,90,5.0,4.733333333333333
HH Pandya,1111,846,49.0,7.879432624113475
HHC Gunaratne,62,86,5.0,4.325581395348837
HJ Darlington,31,18,0.0,10.333333333333334
HJ Manenti,232,208,20.0,6.6923076923076925
HJ Thomas,232,268,14.0,5.1940298507462686
HK Bennett,202,118,7.0,10.271186440677967
HK Kukreja,51,25,1.0,12.24
HK Matthews,1288,1182,82.0,6.538071065989849
HL Colvin,244,260,13.0,5.63076923076923
HL Ferling,38,49,2.0,4.653061224489796
HL Harji,178,137,6.0,7.795620437956204
HL Tau,96,93,4.0,6.193548387096774
HM Rowe,323,237,12.0,8.177215189873419
HMCM Bandara,45,37,1.0,7.297297297297297
HMD Rasangika,287,231,10.0,7.454545454545455
HMHE Parsons,33,13,1.0,15.23076923076923
HMRKB Herath,129,115,3.0,6.730434782608695
HN Ya France,108,98,4.0,6.612244897959183
HNK Jensen,424,359,27.0,7.086350974930362
HR Huddleston,51,56,3.0,5.464285714285714
HR Walsh,532,424,23.0,7.528301886792454
HRA Rainey,285,329,17.0,5.197568389057751
HS Baidwan,84,62,6.0,8.129032258064516
HS Bedi,19,12,0.0,9.5
HT Tector,118,99,4.0,7.1515151515151505
HV Mandhyan,318,273,16.0,6.989010989010989
HV Patel,343,226,13.0,9.106194690265486
HWA Landheer,308,309,15.0,5.980582524271845
Habib Khan,393,354,23.0,6.6610169491525415
Habiba Islam,20,13,0.0,9.230769230769232
Hadia Siddiqui,33,27,1.0,7.333333333333334
Haider Ali,299,315,21.0,5.6952380952380945
Haider Butt,65,45,4.0,8.666666666666666
Hala Azmat,38,32,0.0,7.125
Haliam Kwon,46,40,0.0,6.8999999999999995
Hamid Mahmood,181,200,9.0,5.43
Hamid Safi,58,32,3.0,10.875
Hamza Dar,66,51,3.0,7.764705882352942
Hamza Khan,15,6,0.0,15.0
Hamza Tahir,276,187,11.0,8.855614973262032
Han Lili,95,149,11.0,3.825503355704698
Harbhajan Singh,190,215,13.0,5.302325581395349
Hardeep Singh,55,36,1.0,9.166666666666666
Haris Karim,39,19,1.0,12.315789473684212
Haris Rauf,1312,1027,76.0,7.665043816942551
Harmeet Singh,390,364,18.0,6.428571428571429
Haroon Arshad,427,304,17.0,8.427631578947368
Harry Johnson,173,148,7.0,7.013513513513513
Harshit Rana,35,24,2.0,8.75
Hasan Ali,703,488,33.0,8.64344262295082
Hasan Mahmud,335,248,14.0,8.10483870967742
Haseeb Amjad,263,222,22.0,7.108108108108107
Hassan Khan Mohammad,43,23,0.0,11.217391304347826
Hassan Mehmood,14,21,2.0,4.0
Hassan Nasir,11,13,0.0,5.076923076923077
Hassnain Shah,79,57,4.0,8.31578947368421
Hawwa Ifasha,16,8,0.0,12.0
Hawwa Shaaiqa,15,12,0.0,7.5
Hayatullah Niazi,54,45,2.0,7.199999999999999
Hazrat Luqman,64,38,1.0,10.105263157894736
Heal Theara,87,96,4.0,5.4375
Hein Zin Aung,13,6,0.0,13.0
Hiba Shamshad,24,37,1.0,3.891891891891892
Hilva Noor,2,6,0.0,2.0
Hina Hussain,21,28,3.0,4.5
Hisham Sheikh,366,328,9.0,6.695121951219512
Hor Siv na,19,30,0.0,3.8
Humaira Tasneem,43,31,3.0,8.322580645161292
Hung Ying Ho,6,14,0.0,2.571428571428571
Hussain Talat,42,34,3.0,7.411764705882353
Huzaif Yousuf,71,48,3.0,8.875
Huzaifa Mohammed,361,304,16.0,7.125
Hwanhee Lee,6,6,2.0,6.0
Hyejin Park,34,44,2.0,4.636363636363637
I Alumo,160,199,10.0,4.824120603015076
I Asif,62,52,3.0,7.153846153846153
I Bardis,12,8,1.0,9.0
I Barma,386,492,34.0,4.7073170731707314
I Bist,204,205,9.0,5.970731707317073
I Chathurani,31,90,9.0,2.0666666666666664
I Chuma,81,76,3.0,6.394736842105264
I Danladi,236,236,15.0,6.0
I Edwards,130,104,2.0,7.5
I Elec,97,87,6.0,6.689655172413794
I Goordial-John,130,160,7.0,4.875
I Kaia,9,12,0.0,4.5
I Kamara,32,37,6.0,5.1891891891891895
I Katzarski,7,7,0.0,6.0
I Mugisha,95,92,5.0,6.195652173913043
I Muhawenimana,236,278,11.0,5.093525179856115
I Muntean,54,64,2.0,5.0625
I Mutoni,116,133,8.0,5.233082706766917
I Nakisuuyi,457,573,30.0,4.785340314136126
I Nandakumar,381,440,16.0,5.195454545454545
I Ntirenganya,578,557,33.0,6.2262118491921
I Quee,19,33,4.0,3.454545454545455
I Ranaweera,647,585,36.0,6.635897435897436
I Rodriguez,29,33,2.0,5.2727272727272725
I Sharma,226,149,3.0,9.100671140939598
I Shukla,98,105,7.0,5.6
I Stewart,68,49,4.0,8.326530612244898
I Suhun,62,54,2.0,6.888888888888889
I Takahashi,173,161,4.0,6.447204968944099
I Tchakou,47,43,5.0,6.55813953488372
I Toua,250,277,12.0,5.415162454873646
I Uboh,30,18,1.0,10.0
I Udana,452,293,13.0,9.255972696245735
I Waqavakatoga,141,175,12.0,4.8342857142857145
I Wardlaw,43,25,3.0,10.32
I van Zyl,412,506,19.0,4.8853754940711465
I van der Woning,144,136,4.0,6.352941176470589
IC Simao,200,162,5.0,7.4074074074074066
IDM Latin,104,74,6.0,8.432432432432433
IE O'Brien,119,78,6.0,9.153846153846153
IECM Wong,193,203,9.0,5.704433497536946
IG Butler,236,174,16.0,8.137931034482758
IG Holland,74,100,7.0,4.4399999999999995
IGTP Wiguna,50,37,1.0,8.108108108108109
IJR Zwilling,746,908,55.0,4.929515418502202
IK Cheema,23,28,0.0,4.928571428571429
IK Gamantika,502,540,32.0,5.5777777777777775
IK Pathan,242,174,8.0,8.344827586206897
IKEG Artawan,695,667,35.0,6.251874062968516
IKO Aboagye,47,48,5.0,5.875
IM Vaghela,168,205,10.0,4.917073170731707
IMHC Joyce,439,436,14.0,6.041284403669724
IO Okpe,731,605,42.0,7.249586776859504
IP Swaney,27,12,0.0,13.5
IS Mananelage,8,8,0.0,6.0
IS Sodhi,1357,1069,60.0,7.616463985032741
IT Guha,53,49,2.0,6.4897959183673475
IW Budiarta,37,31,1.0,7.161290322580646
IY Mckeon,15,7,0.0,12.857142857142858
Ibrahim Hassan,490,390,18.0,7.538461538461538
Ibrahim Jabarkhel,59,54,4.0,6.555555555555555
Ibrahim Kursad Dalyan,47,38,0.0,7.421052631578948
Ibrahim Nashath,98,97,5.0,6.061855670103093
Ibrahim Rahimi,14,15,1.0,5.6
Ibrahim Rizan,403,372,19.0,6.5
Ibrar Ahmad,16,15,1.0,6.4
Iftekar Jaman,15,7,0.0,12.857142857142858
Iftikhar Ahmed,172,147,5.0,7.020408163265306
Iftikhar Kankhel,33,25,3.0,7.92
Ijaz Hussain,182,174,14.0,6.275862068965517
Ikbal Hossain,16,27,3.0,3.5555555555555554
Ikramullah Khan,672,486,32.0,8.296296296296296
Ilenia Sims,192,199,19.0,5.788944723618091
Ilyas Ahmed,200,188,14.0,6.382978723404255
Ilyas Ataullah,172,127,5.0,8.125984251968504
Imad Wasim,736,734,39.0,6.016348773841962
Imran Ahmed Kaneez,53,68,3.0,4.676470588235294
Imran Ameer,296,242,12.0,7.338842975206611
Imran Anwar,949,847,52.0,6.7225501770956315
Imran Arif,67,52,3.0,7.730769230769232
Imran Butt,72,49,3.0,8.816326530612246
Imran Haider,108,63,2.0,10.285714285714285
Imran Khan,554,485,23.0,6.85360824742268
Imran Khan (1),42,25,0.0,10.08
Imran Tahir,378,329,22.0,6.893617021276596
Imran Yousaf,85,64,4.0,7.96875
Imtiaz Khan,67,44,4.0,9.136363636363637
Inam-ul-Haq,82,60,2.0,8.2
Iqbal Hussain,161,140,20.0,6.8999999999999995
Iqra Sahar,505,610,23.0,4.967213114754099
Iram Javed,33,30,1.0,6.6000000000000005
Irfan Ahmed,105,90,5.0,7.0
Irfan Hafejee,161,133,10.0,7.2631578947368425
Irfan Safi,27,13,0.0,12.461538461538463
Irfan Sarfraz,5,6,0.0,5.0
Irshad Mubbashar,7,6,0.0,7.0
Isa Zaroo,64,38,3.0,10.105263157894736
Ishtiaq Ahmad,616,555,48.0,6.659459459459459
Ismail Ali,9,6,0.0,9.0
Ismaila Tanba,76,45,3.0,10.133333333333333
Israr Khan,37,25,0.0,8.879999999999999
Itibarshah Deedar,54,42,0.0,7.714285714285715
Izatullah Dawlatzai,80,99,6.0,4.848484848484849
Izaz Ali,186,141,8.0,7.914893617021276
J Ajiambo,70,93,6.0,4.516129032258064
J Albin,215,130,4.0,9.923076923076923
J Baguma,56,61,2.0,5.508196721311475
J Baker,46,33,3.0,8.363636363636363
J Batinibulu,81,73,4.0,6.657534246575342
J Blades,73,66,3.0,6.636363636363636
J Botha,499,447,19.0,6.697986577181208
J Broad,64,51,3.0,7.529411764705882
J Buchanan,43,36,1.0,7.166666666666666
J Bulele,194,142,5.0,8.197183098591548
J Butler,160,155,15.0,6.193548387096774
J Chialoufas,16,18,1.0,5.333333333333333
J Chirila,21,29,1.0,4.344827586206897
J Coetzee,181,280,28.0,3.878571428571429
J Daley,16,26,4.0,3.6923076923076925
J Danikula,81,52,2.0,9.346153846153847
J Dowling,35,41,3.0,5.121951219512195
J Drysdale,213,136,10.0,9.397058823529411
J Dzulfikar,36,74,6.0,2.9189189189189193
J Edmiston,20,21,1.0,5.7142857142857135
J Efosa,153,171,9.0,5.368421052631579
J Erdenesuvd,136,115,1.0,7.095652173913043
J Evans,114,97,11.0,7.051546391752577
J Fernando,47,31,0.0,9.096774193548388
J Gallimore,21,6,0.0,21.0
J George,110,85,1.0,7.764705882352942
J Giyanani,35,27,0.0,7.777777777777778
J Glasgow,37,38,3.0,5.842105263157895
J Goswami,292,318,15.0,5.509433962264151
J Gunasekar,83,133,12.0,3.7443609022556394
J Henry,40,31,2.0,7.741935483870968
J Hicks,90,165,10.0,3.2727272727272725
J Hill,50,37,3.0,8.108108108108109
J Horrocks,163,131,7.0,7.465648854961832
J Hurley,28,24,3.0,7.0
J Intan,31,34,2.0,5.470588235294118
J Jagroo,49,27,1.0,10.88888888888889
J Jojo,86,62,4.0,8.322580645161292
J Kariko,233,242,17.0,5.776859504132231
J Khadka,72,50,4.0,8.64
J Kila,46,45,1.0,6.133333333333333
J Kominkova,133,126,2.0,6.333333333333334
J Kowa,92,162,10.0,3.4074074074074074
J Lassayo,84,69,5.0,7.304347826086957
J Lewis,32,18,1.0,10.666666666666666
J Little,949,780,41.0,7.299999999999999
J Long,26,13,1.0,12.0
J Maguire,321,285,12.0,6.757894736842105
J Marples,14,6,0.0,14.0
J Matharu,5,6,0.0,5.0
J Mbabazi,747,891,74.0,5.03030303030303
J Miyaji,374,339,25.0,6.619469026548673
J Mulder,26,25,1.0,6.24
J Newland,14,14,0.0,6.0
J Nkomo,432,505,37.0,5.132673267326733
J Nyirankundineza,249,293,18.0,5.098976109215017
J Nyumbu,77,36,0.0,12.833333333333332
J Overton,219,159,14.0,8.264150943396226
J Perman,128,118,6.0,6.508474576271187
J Post,12,7,0.0,10.285714285714285
J Proctor,86,86,5.0,6.0
J Ramanandi,138,127,13.0,6.51968503937008
J Rasu,250,220,14.0,6.818181818181818
J Rokoro,50,42,1.0,7.142857142857142
J Sanele,154,191,10.0,4.837696335078534
J Sebanja,81,58,2.0,8.379310344827587
J Shaju,222,188,15.0,7.085106382978724
J Singye,265,222,8.0,7.162162162162162
J Souckova,19,19,0.0,6.0
J Stanigze,64,49,5.0,7.836734693877551
J Sumerauer,314,275,17.0,6.8509090909090915
J Theron,286,241,22.0,7.1203319502074685
J Thinley,16,6,0.0,16.0
J Thomas,22,27,1.0,4.888888888888888
J Tuffin,249,216,9.0,6.916666666666666
J Tugsjargal,9,8,0.0,6.75
J Wilson,95,57,2.0,10.0
J Winster,49,67,3.0,4.388059701492537
J Yon,3,25,4.0,0.72
J de Figueiredo,26,25,1.0,6.24
J van Heerden,41,27,2.0,9.11111111111111
JA Burrows,214,182,15.0,7.054945054945055
JA Clarkson,9,6,1.0,9.0
JA Diergaardt,544,649,41.0,5.029275808936825
JA Duffy,428,337,26.0,7.620178041543028
JA Fitzgerald,297,197,6.0,9.045685279187817
JA Miranda,52,27,0.0,11.555555555555555
JA Morkel,430,359,18.0,7.186629526462395
JA Richardson,291,226,14.0,7.725663716814159
JA Stiglitz,142,102,1.0,8.352941176470587
JA Turner,22,12,0.0,11.0
JAM Henri,217,157,7.0,8.292993630573248
JAN Ngono,66,69,2.0,5.739130434782609
JAR Blain,40,48,2.0,5.0
JB Abega,169,141,12.0,7.1914893617021285
JB Reva,106,85,5.0,7.482352941176471
JC Archer,730,557,32.0,7.863554757630162
JC Balt,21,18,0.0,7.0
JC Cullen,41,32,2.0,7.6875
JC Darji,6,13,0.0,2.769230769230769
JC Tredwell,255,187,6.0,8.181818181818182
JD Baker,14,19,1.0,4.421052631578947
JD Nel,66,69,5.0,5.739130434782609
JD Newton,39,43,2.0,5.441860465116279
JD Ryder,68,60,2.0,6.8
JD Unadkat,165,124,9.0,7.983870967741935
JD Wildermuth,16,12,1.0,8.0
JDF Vandersay,250,188,6.0,7.9787234042553195
JDP Oram,340,253,10.0,8.063241106719367
JDS Neesham,709,474,28.0,8.974683544303797
JE Pitcher,24,26,0.0,5.538461538461538
JE Ronalds,152,169,10.0,5.396449704142012
JE Root,95,56,3.0,10.178571428571429
JE Scott,57,56,2.0,6.107142857142857
JE Taylor,580,424,26.0,8.20754716981132
JE Titmuss,36,44,2.0,4.909090909090909
JEA Doctora,32,22,4.0,8.727272727272727
JEC Franklin,215,175,11.0,7.371428571428572
JF Jimenez,26,35,0.0,4.457142857142857
JF Mooney,69,80,8.0,5.175000000000001
JG Bethell,54,36,1.0,9.0
JG Kimaro,113,107,5.0,6.336448598130842
JH Davey,408,291,12.0,8.412371134020617
JH Kallis,220,182,10.0,7.252747252747252
JH Kiani,27,26,1.0,6.230769230769232
JH Stander,63,34,2.0,11.117647058823529
JI de Villiers,89,55,1.0,9.709090909090909
JJ Bumrah,984,853,47.0,6.92145369284877
JJ Davidson,31,27,2.0,6.888888888888889
JJ Huo,385,266,22.0,8.68421052631579
JJ Nyambo,155,146,7.0,6.36986301369863
JJ Smit,595,559,33.0,6.386404293381037
JJ Tucker,34,24,0.0,8.5
JJ Wright,14,10,0.0,8.399999999999999
JJ van der Wath,126,100,7.0,7.5600000000000005
JK Kamande,66,49,5.0,8.081632653061224
JK Mukhiya,98,63,4.0,9.333333333333334
JK Vifah,92,95,6.0,5.810526315789474
JKC Ahir,25,12,0.0,12.5
JKC Claxton,127,108,5.0,7.055555555555555
JKD Andreano,209,216,8.0,5.805555555555555
JL Aras,61,57,5.0,6.421052631578947
JL Denly,66,43,3.0,9.209302325581396
JL Gunn,507,447,27.0,6.805369127516778
JL Hunter,95,99,4.0,5.757575757575758
JL Jonassen,792,884,51.0,5.375565610859729
JL Martel,41,44,6.0,5.590909090909091
JL Ontong,57,25,2.0,13.68
JL Pattinson,87,58,1.0,9.0
JL Tutty,179,185,9.0,5.805405405405406
JL de Mey,32,18,0.0,10.666666666666666
JM Anderson,290,232,12.0,7.5
JM Apio,20,28,5.0,4.285714285714286
JM Dibble,21,13,0.0,9.692307692307693
JM Iradukunda,143,103,7.0,8.330097087378642
JM Joao,12,6,0.0,12.0
JM Kerr,524,425,11.0,7.397647058823529
JM Muirhead,41,38,2.0,6.473684210526316
JM Nthenya,27,19,0.0,8.526315789473685
JM Polarouthu,30,15,0.0,12.0
JM Vujinovich,93,68,2.0,8.205882352941178
JM Watkin,53,43,2.0,7.395348837209302
JM Willathgamuwa,56,45,0.0,7.466666666666667
JMJ Lynn,22,26,3.0,5.076923076923077
JN Frylinck,572,477,29.0,7.19496855345912
JN Gillespie,49,25,1.0,11.76
JN Loftie-Eaton,273,225,12.0,7.28
JN Snape,12,6,0.0,12.0
JN du Plooy,14,13,0.0,6.461538461538462
JNK Shannon,11,6,0.0,11.0
JNT Seales,79,37,0.0,12.81081081081081
JO Adedeji,115,108,4.0,6.388888888888889
JO Holder,1538,1125,65.0,8.202666666666667
JO Ngoche,71,73,1.0,5.835616438356165
JOA Gordon,181,127,8.0,8.551181102362204
JP Behrendorff,264,210,15.0,7.542857142857143
JP Duminy,219,154,4.0,8.532467532467532
JP Faulkner,377,284,23.0,7.964788732394366
JQK Moala,65,69,4.0,5.6521739130434785
JR Barry,212,138,8.0,9.217391304347826
JR Hazlewood,1052,868,55.0,7.271889400921658
JR Hopes,74,72,4.0,6.166666666666666
JRD Ngana,9,16,0.0,3.375
JRMVB Sanjaya,205,134,7.0,9.17910447761194
JS Henriksen,18,6,0.0,18.0
JS Iggo,60,42,1.0,8.571428571428571
JS Kundi,76,54,1.0,8.444444444444445
JS Malhotra,13,18,0.0,4.333333333333333
JS Ndanu,96,94,3.0,6.127659574468085
JS Patel,143,99,10.0,8.666666666666666
JS Pooranakaran,281,287,7.0,5.874564459930314
JT Ball,49,27,1.0,10.88888888888889
JT Brassell,282,182,9.0,9.296703296703297
JT Darrell,23,43,3.0,3.209302325581395
JT Manase,24,19,0.0,7.578947368421052
JT Pooranakaran,97,53,1.0,10.981132075471699
JT Smuts,65,60,0.0,6.5
JV Chand,85,79,3.0,6.455696202531645
JW Chilia,83,79,2.0,6.30379746835443
JW Dernbach,775,528,31.0,8.806818181818182
JW Hastings,206,149,7.0,8.29530201342282
JW Wilson,48,24,0.0,12.0
JWM Dalrymple,30,18,2.0,10.0
JWN Moses,47,49,0.0,5.755102040816326
JWW Gardner,55,30,0.0,11.0
Jagrat Dubey,98,123,9.0,4.780487804878049
Jahanara Alam,723,704,41.0,6.161931818181818
Jahandad Khan,11,6,0.0,11.0
Jai Sinh,61,44,5.0,8.318181818181818
Jaikumar Thakur,67,49,0.0,8.204081632653061
Jaison Jerome,124,69,1.0,10.782608695652174
Jakob Gul,197,151,11.0,7.827814569536423
Jamshid Nasiri,62,74,5.0,5.027027027027027
Janak Prakash,622,411,27.0,9.08029197080292
Jannatul Ferdus,69,48,2.0,8.625
Jasdeep Singh,601,438,26.0,8.232876712328768
Jaskaran Singh,46,65,7.0,4.246153846153846
Jaspal Singh,71,64,2.0,6.65625
Jaspreet Singh,200,183,12.0,6.557377049180328
Jaswinder Singh,97,83,6.0,7.0120481927710845
Javeria Khan,36,37,2.0,5.837837837837839
Javeria Rauf,23,18,1.0,7.666666666666666
Javid Patel,119,102,5.0,7.0
Jaweed Sadran,142,93,6.0,9.161290322580644
Jay Odedra,63,43,3.0,8.790697674418604
Jayasooriya,136,136,5.0,6.0
Jeon Myeong,18,13,1.0,8.307692307692307
Jiaping Li,15,30,0.0,3.0
Jitesh Patel,60,47,1.0,7.659574468085107
Jiyeon Park,59,77,3.0,4.597402597402597
Joanne Hicks,12,25,0.0,2.88
Jobayer Hossen,94,78,9.0,7.23076923076923
Jonte Smith,24,37,4.0,3.891891891891892
Joshua Asia,115,154,11.0,4.48051948051948
Joyleen Kaur,34,32,1.0,6.375
Jubair Hossain,20,12,2.0,10.0
Jun Hyunwoo,25,24,0.0,6.25
Junaid Aziz,80,59,9.0,8.135593220338983
Junaid Khan,225,248,10.0,5.443548387096774
Junaid Sheikh,46,45,0.0,6.133333333333333
Junaid Siddique,1013,835,50.0,7.279041916167666
Junaid Siddiqui,179,186,8.0,5.774193548387097
K Amuge,163,223,17.0,4.385650224215246
K Anjali Sarvani,143,93,3.0,9.225806451612904
K Arua,142,225,22.0,3.786666666666666
K Babu,81,51,3.0,9.529411764705882
K Bhurtel,234,205,12.0,6.848780487804877
K Birkenstock,24,18,1.0,8.0
K Boniface,21,12,0.0,10.5
K Burrows,22,12,3.0,11.0
K Canavarci,122,116,3.0,6.310344827586206
K Cawte,116,86,5.0,8.093023255813954
K Chigora,153,123,9.0,7.463414634146341
K Christie,121,85,3.0,8.541176470588235
K Dangol,59,73,7.0,4.8493150684931505
K Dorji,45,25,2.0,10.8
K Fletcher,223,220,15.0,6.081818181818182
K Fraser,382,460,28.0,4.982608695652174
K Fubler,80,109,6.0,4.4036697247706424
K Gilham,87,76,5.0,6.868421052631579
K Gore,85,93,9.0,5.483870967741935
K Goud,67,62,2.0,6.483870967741935
K Govind,25,21,1.0,7.142857142857142
K Hinds,246,260,17.0,5.676923076923076
K Inakale,108,106,2.0,6.113207547169811
K Irakoze,595,540,30.0,6.611111111111111
K Jaikaran,72,64,7.0,6.75
K Joshi,346,414,17.0,5.0144927536231885
K Juma,253,216,13.0,7.027777777777778
K Kanwar,14,8,0.0,10.5
K Kapadia,43,64,0.0,4.03125
K Kato-Stafford,25,32,1.0,4.6875
K Kavindi,110,88,2.0,7.5
K Kekez,29,13,0.0,13.384615384615385
K Kisova,29,23,0.0,7.565217391304348
K Klein,289,198,19.0,8.757575757575758
K Kubota,16,12,2.0,8.0
K Kunwar,415,610,34.0,4.081967213114754
K Lake,11,23,2.0,2.8695652173913047
K Macheka,20,19,1.0,6.315789473684211
K Mahekdeep,60,61,4.0,5.9016393442622945
K Marasini,15,12,1.0,7.5
K Maseko,19,12,0.0,9.5
K McGill,236,229,19.0,6.183406113537117
K Mendon,35,40,2.0,5.25
K Mirpuri,399,320,15.0,7.481249999999999
K Modise,41,30,4.0,8.2
K Moingoto,39,59,2.0,3.9661016949152543
K Motlanka,79,68,7.0,6.970588235294118
K Namchaikul,86,86,3.0,6.0
K Nanno,6,10,1.0,3.5999999999999996
K Nassoro,495,400,21.0,7.425000000000001
K Ndlovu,468,419,21.0,6.701670644391409
K Nestor,211,160,11.0,7.9125000000000005
K Oala,29,32,2.0,5.4375
K Ogola,0,2,1.0,0.0
K Ota,130,160,12.0,4.875
K Paskova,20,22,1.0,5.454545454545454
K Peddrick,155,152,9.0,6.118421052631579
K Penjor,19,13,0.0,8.769230769230768
K Pierre,200,115,6.0,10.434782608695652
K Piet,391,316,17.0,7.424050632911392
K Rabada,1156,825,41.0,8.407272727272726
K Ramharack,594,515,27.0,6.920388349514564
K Reyneke,45,55,1.0,4.909090909090909
K Samten,58,75,1.0,4.64
K Santokie,148,109,10.0,8.146788990825689
K Sathish,48,31,2.0,9.29032258064516
K Schultz,39,31,0.0,7.548387096774194
K Senamontree,122,122,11.0,6.0
K Sequiera,19,28,2.0,4.071428571428571
K Sinclair,151,109,4.0,8.311926605504587
K Srandeva,166,155,5.0,6.425806451612903
K Tereza,83,71,1.0,7.014084507042254
K Tesarikova,19,10,0.0,11.399999999999999
K Thuchila,92,111,5.0,4.972972972972973
K Vislapuu,239,159,7.0,9.018867924528303
K Waiswa,314,261,15.0,7.218390804597701
K Weeraratne,31,24,1.0,7.75
K Winda Prastini,48,52,3.0,5.538461538461538
KA Bazil,155,102,3.0,9.117647058823529
KA Green,561,806,38.0,4.176178660049628
KA Jamieson,333,237,8.0,8.430379746835442
KA Maharaj,632,499,24.0,7.599198396793587
KA Pollard,721,537,26.0,8.05586592178771
KAB Hynam-Nyberg,67,42,1.0,9.571428571428573
KAC Wong,46,27,1.0,10.222222222222221
KADA Kanchana,243,195,4.0,7.476923076923077
KAJ Roach,174,161,8.0,6.484472049689441
KB Ahir,114,83,5.0,8.240963855421686
KC D'Souza,54,53,4.0,6.113207547169811
KC Ramamoorthy,29,24,1.0,7.25
KC Thompson,64,104,11.0,3.6923076923076925
KD Jayawant,15,9,0.0,10.0
KD Mehta,43,43,4.0,6.0
KD Mills,675,473,21.0,8.562367864693446
KD Shah,286,247,10.0,6.947368421052632
KDA Lukies,329,345,20.0,5.721739130434782
KDU Prabodhani,739,718,38.0,6.1754874651810585
KE Broadmore,63,57,1.0,6.631578947368421
KE Bryce,379,494,34.0,4.603238866396761
KE Ebrahim,29,24,2.0,7.25
KH Brunt,792,832,52.0,5.711538461538462
KH Pandya,373,272,11.0,8.227941176470589
KH Sciver-Brunt,72,58,3.0,7.448275862068966
KIC Asalanka,122,85,2.0,8.611764705882353
KJ Abbott,300,241,16.0,7.468879668049793
KJ Coetzer,16,18,2.0,5.333333333333333
KJ Ferrary,59,66,7.0,5.363636363636363
KJ Garth,490,465,21.0,6.32258064516129
KJ O'Brien,424,356,25.0,7.146067415730338
KJ Patel,79,91,4.0,5.208791208791209
KJ Young,76,49,3.0,9.306122448979592
KK Ahmed,412,279,13.0,8.86021505376344
KK Donovan,170,208,10.0,4.903846153846153
KK Lin Thu,129,147,9.0,5.26530612244898
KKN Egodage,327,331,20.0,5.927492447129909
KL Cross,47,43,2.0,6.55813953488372
KL George,101,79,3.0,7.670886075949367
KL Gordon,54,74,10.0,4.378378378378378
KM Beams,154,202,13.0,4.574257425742575
