venue,avg_score,nature
Melbourne Cricket Ground,143.2,Balanced
Mercantile Cricket Association Ground,132.0,Balanced
"Mission Road Ground, Mong Kok",113.5,Rough (Bowler Friendly)
"Mission Road Ground, Mong Kok, Hong Kong",143.2972972972973,Balanced
"Mladost Cricket Ground, Zagreb",148.0,Balanced
Moara Vlasiei Cricket Ground,112.0,Rough (Bowler Friendly)
"Moara Vlasiei Cricket Ground, Ilfov County",148.31372549019608,Balanced
Mombasa Sports Club Ground,115.0,Rough (Bowler Friendly)
Morodok Techo National Stadium,51.0,Rough (Bowler Friendly)
Moses Mabhida Stadium,168.0,Sporting (Batting Friendly)
Mulpani Cricket Ground,151.92307692307693,Sporting (Batting Friendly)
Multan Cricket Stadium,155.33333333333334,Sporting (Batting Friendly)
"N'Du Stadium, Noumea, New Caledonia",92.5,Rough (Bowler Friendly)
"Namibia Cricket Ground, Windhoek",113.5,Rough (Bowler Friendly)
Narendra Modi Stadium,170.6,Sporting (Batting Friendly)
"Narendra Modi Stadium, Ahmedabad",232.5,Sporting (Batting Friendly)
"Nassau County International Cricket Stadium, New York",107.625,Rough (Bowler Friendly)
"National Cricket Stadium, Grenada",208.0,Sporting (Batting Friendly)
"National Cricket Stadium, St George's",74.0,Rough (Bowler Friendly)
"National Cricket Stadium, St George's, Grenada",175.14285714285714,Sporting (Batting Friendly)
"National Sports Academy, Sofia",154.875,Sporting (Batting Friendly)
National Stadium,152.33333333333334,Sporting (Batting Friendly)
"National Stadium, Hamilton",164.0,Sporting (Batting Friendly)
"National Stadium, Karachi",157.73333333333332,Sporting (Batting Friendly)
"New Farnley CC, Leeds",99.0,Rough (Bowler Friendly)
New Wanderers Stadium,168.6,Sporting (Batting Friendly)
Newlands,152.91666666666666,Sporting (Batting Friendly)
"Newlands, Cape Town",157.76923076923077,Sporting (Batting Friendly)
"Nigeria Cricket Federation Oval 1, Abuja",128.45833333333334,Balanced
"Nigeria Cricket Federation Oval 2, Abuja",109.8,Rough (Bowler Friendly)
Nondescripts Cricket Club Ground,86.0,Rough (Bowler Friendly)
North Sydney Oval,155.66666666666666,Sporting (Batting Friendly)
"North Sydney Oval, Sydney",159.0,Sporting (Batting Friendly)
OUTsurance Oval,168.0,Sporting (Batting Friendly)
Old Hararians,120.75,Balanced
Old Trafford,151.0,Sporting (Batting Friendly)
"Old Trafford, Manchester",195.5,Sporting (Batting Friendly)
P Sara Oval,119.5,Rough (Bowler Friendly)
"P Sara Oval, Colombo",121.33333333333333,Balanced
Pallekele International Cricket Stadium,167.96296296296296,Sporting (Batting Friendly)
"Pembroke Cricket Club, Sandymount",151.0,Sporting (Batting Friendly)
"Pembroke Cricket Club, Sandymount, Dublin",143.0,Balanced
Perth Stadium,149.28571428571428,Balanced
Pierre Werner Cricket Ground,142.6,Balanced
Pokhara Rangasala,82.25,Rough (Bowler Friendly)
Prairie View Cricket Complex,155.71428571428572,Sporting (Batting Friendly)
Providence Stadium,138.76470588235293,Balanced
"Providence Stadium, Guyana",115.85714285714286,Rough (Bowler Friendly)
Pukekura Park,134.0,Balanced
"Punjab Cricket Association IS Bindra Stadium, Mohali",157.42857142857142,Sporting (Batting Friendly)
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",208.0,Sporting (Batting Friendly)
"Punjab Cricket Association Stadium, Mohali",206.0,Sporting (Batting Friendly)
"Queen's Park Oval, Port of Spain",129.66666666666666,Balanced
Queens Sports Club,168.0,Sporting (Batting Friendly)
"Queens Sports Club, Bulawayo",152.7826086956522,Sporting (Batting Friendly)
R Premadasa Stadium,141.6969696969697,Balanced
"R Premadasa Stadium, Colombo",128.75,Balanced
"R.Premadasa Stadium, Khettarama",163.5,Sporting (Batting Friendly)
"Rajiv Gandhi International Stadium, Uppal",207.0,Sporting (Batting Friendly)
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",241.5,Sporting (Batting Friendly)
Rangiri Dambulla International Stadium,138.32,Balanced
Rawalpindi Cricket Stadium,144.75,Balanced
"Reforma Athletic Club, Naucalpan",65.8,Rough (Bowler Friendly)
Riverside Ground,130.2,Balanced
"Riverside Ground, Chester-le-Street",153.0,Sporting (Batting Friendly)
Roma Cricket Ground,134.35,Balanced
"Royal Brussels Cricket Club Ground, Waterloo",154.9,Sporting (Batting Friendly)
Royal Chiangmai Golf Club,100.25,Rough (Bowler Friendly)
Royal Selangor Club,115.33333333333333,Rough (Bowler Friendly)
"Royal Selangor Club, Kuala Lumpur",113.16666666666667,Rough (Bowler Friendly)
