batter,total_runs,balls_faced,times_out,strike_rate,average
B Bezuidenhout,157,143,9.0,109.79020979020979,17.444444444444443
B Bhadriraju,6,7,2.0,85.71428571428571,3.0
B Bhandari,157,135,11.0,116.2962962962963,14.272727272727273
B Biza,173,187,11.0,92.51336898395722,15.727272727272727
B Cooper,281,324,17.0,86.72839506172839,16.529411764705884
B Coulibaly,0,1,0.0,0.0,0.0
B Dugic,5,11,1.0,45.45454545454545,5.0
B Ercegovcevic,4,2,1.0,200.0,4.0
B Etim,88,154,5.0,57.14285714285714,17.6
B Evans,43,46,6.0,93.47826086956522,7.166666666666667
B Fernando,0,1,0.0,0.0,0.0
B Fitchet,72,61,4.0,118.0327868852459,18.0
B Freeman,3,8,2.0,37.5,1.5
B Gaanamong,6,19,1.0,31.57894736842105,6.0
B George,300,260,9.0,115.38461538461537,33.333333333333336
B Ichinkhorloo,39,148,9.0,26.351351351351347,4.333333333333333
B Isaac,2,5,1.0,40.0,2.0
B Ito-Davis,189,174,12.0,108.62068965517241,15.75
B Ivanov,15,32,0.0,46.875,15.0
B Jerkovic,20,36,2.0,55.55555555555556,10.0
B Kgosiemang,6,16,0.0,37.5,6.0
B Khumalo,2,6,1.0,33.33333333333333,2.0
B Kohler-Cadmore,65,45,2.0,144.44444444444443,32.5
B Kumar,54,81,6.0,66.66666666666666,9.0
B Lee,37,24,3.0,154.16666666666669,12.333333333333334
B Madimabe,15,62,6.0,24.193548387096776,2.5
B Maes Loch,2,5,1.0,40.0,2.0
B Mahesh,7,3,1.0,233.33333333333334,7.0
B Manuel,30,70,10.0,42.857142857142854,3.0
B Maphosa,30,40,2.0,75.0,15.0
B Masaba,260,262,16.0,99.23664122137404,16.25
B Mavuta,21,19,0.0,110.5263157894737,21.0
B Maximo,0,3,1.0,0.0,0.0
B Mejaro,0,5,1.0,0.0,0.0
B Mpedi,75,96,5.0,78.125,15.0
B Murekatete,28,38,8.0,73.68421052631578,3.5
B Muzarabani,16,23,6.0,69.56521739130434,2.6666666666666665
B Namsrai,0,10,3.0,0.0,0.0
B Namuunzul,27,89,5.0,30.337078651685395,5.4
B Ndipo,4,6,1.0,66.66666666666666,4.0
B Niaz,278,250,14.0,111.20000000000002,19.857142857142858
B Nwobodo,12,31,1.0,38.70967741935484,12.0
B Pavlinakova,3,9,0.0,33.33333333333333,3.0
B Phelenyane,34,76,3.0,44.73684210526316,11.333333333333334
B Pondani,3,8,1.0,37.5,3.0
B Rawal,200,330,11.0,60.60606060606061,18.181818181818183
B Regmi,18,39,4.0,46.15384615384615,4.5
B Shanti,142,231,15.0,61.471861471861466,9.466666666666667
B Shetty,55,92,2.0,59.78260869565217,27.5
B Shikongo,0,4,1.0,0.0,0.0
B Shotorova,24,102,8.0,23.52941176470588,3.0
B Siddharth,5,8,2.0,62.5,2.5
B Tau,430,497,19.0,86.51911468812877,22.63157894736842
B Taylan,12,25,2.0,48.0,6.0
B Terbish,0,1,1.0,0.0,0.0
B Tlali,12,33,3.0,36.36363636363637,4.0
B Vakatini,0,1,1.0,0.0,0.0
B Waluma,70,140,13.0,50.0,5.384615384615385
B Wani,9,31,3.0,29.03225806451613,3.0
B Ward,399,308,16.0,129.54545454545453,24.9375
B Wentzel,1,2,1.0,50.0,1.0
B White,15,33,2.0,45.45454545454545,7.5
B Williams,1,3,0.0,33.33333333333333,1.0
B Yadav,34,24,4.0,141.66666666666669,8.5
B de Leede,760,781,32.0,97.31113956466069,23.75
BA Carse,37,25,2.0,148.0,18.5
BA King,929,710,33.0,130.8450704225352,28.151515151515152
BA Pai,643,613,19.0,104.89396411092986,33.8421052631579
BA Stokes,227,175,14.0,129.71428571428572,16.214285714285715
BAA Zammitt,9,21,2.0,42.857142857142854,4.5
BAD Manenti,83,71,4.0,116.90140845070422,20.75
BAM Heath,3,8,2.0,37.5,1.5
BAW Mendis,4,3,0.0,133.33333333333331,4.0
BB Chari,0,4,1.0,0.0,0.0
BB McCullum,1134,804,29.0,141.04477611940297,39.10344827586207
BBJL Perera,133,124,4.0,107.25806451612902,33.25
BC Fortuin,67,68,6.0,98.52941176470588,11.166666666666666
BC Sahin,1,7,0.0,14.285714285714285,1.0
BCJ Cutting,35,23,2.0,152.17391304347828,17.5
BD Glover,2,12,3.0,16.666666666666664,0.6666666666666666
BD Pare,3,6,1.0,50.0,3.0
BDH Stevens,154,161,8.0,95.65217391304348,19.25
BE Hendricks,15,18,2.0,83.33333333333334,7.5
BF Calitz,29,27,2.0,107.40740740740742,14.5
BF Mailata,70,76,3.0,92.10526315789474,23.333333333333332
BF Smith,102,74,3.0,137.83783783783784,34.0
BFW de Leede,245,304,15.0,80.5921052631579,16.333333333333332
BG Armstrong,11,10,1.0,110.00000000000001,11.0
BG Illing,1,3,0.0,33.33333333333333,1.0
BG Lister,1,2,1.0,50.0,1.0
BI Dilruksha,143,133,6.0,107.51879699248121,23.833333333333332
BJ Bennett,1056,708,26.0,149.15254237288136,40.61538461538461
BJ Currie,9,17,0.0,52.94117647058824,9.0
BJ Davidson,3,18,2.0,16.666666666666664,1.5
BJ Dwarshuis,17,21,1.0,80.95238095238095,17.0
BJ Haddin,214,190,14.0,112.63157894736841,15.285714285714286
BJ Hodge,115,90,5.0,127.77777777777777,23.0
BJ Jacobs,64,60,1.0,106.66666666666667,64.0
BJ McCarthy,108,87,10.0,124.13793103448276,10.8
BJ McMullen,439,323,16.0,135.91331269349845,27.4375
BJ Watling,8,12,1.0,66.66666666666666,8.0
BK Stroud,9,19,1.0,47.368421052631575,9.0
BKB Corbin,81,66,4.0,122.72727272727273,20.25
