batter,total_runs,balls_faced,times_out,strike_rate,average
M Taylor,187,269,15.0,69.51672862453532,12.466666666666667
M Theekshana,39,71,10.0,54.929577464788736,3.9
M Thurgate,17,13,1.0,130.76923076923077,17.0
M Tilau,3,16,2.0,18.75,1.5
M Tom,2,2,0.0,100.0,2.0
M Trajkovi,2,7,1.0,28.57142857142857,2.0
M Trejbalova,1,36,1.0,2.7777777777777777,1.0
M Turay,46,73,6.0,63.013698630136986,7.666666666666667
M Turner,25,23,0.0,108.69565217391303,25.0
M Upadhayay,1,1,0.0,100.0,1.0
M Uwase,297,358,18.0,82.9608938547486,16.5
M Vaik,43,68,5.0,63.23529411764706,8.6
M Valner,19,76,3.0,25.0,6.333333333333333
M Vandrasi,69,64,2.0,107.8125,34.5
M Veringmeier,80,68,4.0,117.64705882352942,20.0
M Vervitsioti,23,74,6.0,31.08108108108108,3.8333333333333335
M Vijay,48,35,3.0,137.14285714285714,16.0
M Vivekanandan,19,70,4.0,27.142857142857142,4.75
M Vua,7,24,1.0,29.166666666666668,7.0
M Vumiliya,17,13,1.0,130.76923076923077,17.0
M Vuruna,19,32,2.0,59.375,9.5
M Wai Siu,15,55,6.0,27.27272727272727,2.5
M Whelan,51,50,4.0,102.0,12.75
M Worndl,2,9,2.0,22.22222222222222,1.0
M Yambayamba,4,9,0.0,44.44444444444444,4.0
M Yanagida,444,580,24.0,76.55172413793103,18.5
M Yoshioka,13,12,1.0,108.33333333333333,13.0
M Yousaf,18,40,1.0,45.0,18.0
M Yunusu Issa,115,98,8.0,117.34693877551021,14.375
M Zdravkova,0,20,1.0,0.0,0.0
M Zhu,14,44,5.0,31.818181818181817,2.8
M Zwilling,0,1,1.0,0.0,0.0
M du Preez,664,749,34.0,88.65153538050734,19.529411764705884
M van Lingen,210,186,11.0,112.90322580645163,19.09090909090909
MA Baig,131,166,5.0,78.91566265060241,26.2
MA Jones,180,126,5.0,142.85714285714286,36.0
MA Leask,524,433,31.0,121.0161662817552,16.903225806451612
MA Nyabela,23,50,3.0,46.0,7.666666666666667
MA Ouma,43,47,6.0,91.48936170212765,7.166666666666667
MA Parker,3,9,0.0,33.33333333333333,3.0
MA Sherry,5,17,2.0,29.411764705882355,2.5
MA Starc,48,37,3.0,129.72972972972974,16.0
MA Swedy,115,92,3.0,125.0,38.333333333333336
MA Tsemane,1,3,0.0,33.33333333333333,1.0
MA Wood,21,23,0.0,91.30434782608695,21.0
MAA Sanjeewani,459,525,27.0,87.42857142857143,17.0
MADD Surangika,232,287,15.0,80.8362369337979,15.466666666666667
MADI Hemantha,7,10,0.0,70.0,7.0
MB Kruger,304,299,14.0,101.67224080267559,21.714285714285715
MB Tambe,42,72,10.0,58.333333333333336,4.2
MB dos Santos,0,5,1.0,0.0,0.0
MBA Lamplough,66,104,9.0,63.46153846153846,7.333333333333333
MC Alex,2,16,2.0,12.5,1.0
MC Bascombe,3,9,1.0,33.33333333333333,3.0
MC Henriques,196,158,8.0,124.0506329113924,24.5
MC Sorensen,30,18,1.0,166.66666666666669,30.0
MD Bimenyimana,491,652,24.0,75.30674846625767,20.458333333333332
MD Botha,159,194,8.0,81.95876288659794,19.875
MD Byrne,0,1,1.0,0.0,0.0
MD Dai,74,77,3.0,96.1038961038961,24.666666666666668
MD Garratt,1,5,1.0,20.0,1.0
MD Gunathilaka,532,458,27.0,116.15720524017468,19.703703703703702
MD Patel,447,281,14.0,159.07473309608542,31.928571428571427
MD Rocha,12,29,2.0,41.37931034482759,6.0
MD Shanaka,879,752,47.0,116.88829787234043,18.70212765957447
MD du Preez,33,33,0.0,100.0,33.0
MDK Perera,1,8,2.0,12.5,0.5
MDKJ Perera,1311,1038,45.0,126.30057803468209,29.133333333333333
MDN Hansika,45,87,6.0,51.724137931034484,7.5
ME Bessala,115,170,11.0,67.64705882352942,10.454545454545455
ME Bouchier,472,406,26.0,116.25615763546797,18.153846153846153
ME Leoela,3,18,2.0,16.666666666666664,1.5
ME Trescothick,94,75,2.0,125.33333333333334,47.0
ME Violleau,123,219,12.0,56.16438356164384,10.25
MEC de Fouw,0,1,1.0,0.0,0.0
MEK Hussey,300,224,11.0,133.92857142857142,27.272727272727273
MEMO Scott-Hayward,0,1,1.0,0.0,0.0
MF Maharoof,20,33,4.0,60.60606060606061,5.0
MF Manjate,0,1,1.0,0.0,0.0
MFD Douma,3,22,3.0,13.636363636363635,1.0
MFI Assuncao,35,40,4.0,87.5,8.75
MG Bracewell,394,302,14.0,130.46357615894038,28.142857142857142
MG Erasmus,943,746,33.0,126.40750670241287,28.575757575757574
MG Hunter,28,45,3.0,62.22222222222222,9.333333333333334
MG Johnson,64,53,5.0,120.75471698113208,12.8
MGMCP Gunawardene,11,25,2.0,44.0,5.5
MGSM Fernando,15,12,2.0,125.0,7.5
MH Cross,659,624,30.0,105.60897435897436,21.966666666666665
MH Oman,3,14,1.0,21.428571428571427,3.0
MH Ushanga,32,66,9.0,48.484848484848484,3.5555555555555554
MH Yardy,32,19,0.0,168.42105263157893,32.0
MI Khagoitsa,67,85,6.0,78.82352941176471,11.166666666666666
MI Shakim,10,6,2.0,166.66666666666669,5.0
MIW van den Raad,40,39,2.0,102.56410256410255,20.0
MJ Ansell,42,57,7.0,73.68421052631578,6.0
MJ Clarke,231,247,15.0,93.52226720647774,15.4
MJ Guptill,2137,1550,61.0,137.8709677419355,35.032786885245905
MJ Hay,60,48,7.0,125.0,8.571428571428571
MJ Henry,7,10,1.0,70.0,7.0
MJ Humphreys,8,8,2.0,100.0,4.0
MJ Lumb,238,183,13.0,130.05464480874315,18.307692307692307
MJ Mason,2,2,1.0,100.0,2.0
MJ McClenaghan,7,6,2.0,116.66666666666667,3.5
MJ North,20,21,1.0,95.23809523809523,20.0
MJ Owen,2,5,2.0,40.0,1.0
MJ Prior,38,33,3.0,115.15151515151516,12.666666666666666
MJ Richardson,192,196,7.0,97.95918367346938,27.428571428571427
MJ Ross,6,8,0.0,75.0,6.0
MJ Santner,352,319,26.0,110.34482758620689,13.538461538461538
MJ Scotland,81,78,1.0,103.84615384615385,81.0
MJ Tugaga,3,2,0.0,150.0,3.0
MJ Tumukunde,8,9,0.0,88.88888888888889,8.0
MJG Nielsen,5,8,1.0,62.5,5.0
MJG Rippon,60,47,4.0,127.65957446808511,15.0
MJM Kavana,9,16,2.0,56.25,4.5
MJV Villalobos,1,3,0.0,33.33333333333333,1.0
MK Amusa,151,229,8.0,65.93886462882097,18.875
MK Anafie,9,14,1.0,64.28571428571429,9.0
MK Pandey,423,335,10.0,126.26865671641792,42.3
MK Thakur,107,83,5.0,128.91566265060243,21.4
MK Tiwary,15,17,1.0,88.23529411764706,15.0
MK Villiers,50,28,1.0,178.57142857142858,50.0
ML Bojang,16,23,3.0,69.56521739130434,5.333333333333333
ML Castillo,14,46,4.0,30.434782608695656,3.5
ML Green,574,532,32.0,107.89473684210526,17.9375
ML Hayden,42,35,4.0,120.0,10.5
ML Karlsen,65,131,3.0,49.61832061068702,21.666666666666668
ML Kostic,23,21,4.0,109.52380952380953,5.75
ML Schutt,7,16,5.0,43.75,1.4
ML Udawatte,24,32,3.0,75.0,8.0
MLG Silva,42,76,8.0,55.26315789473685,5.25
MLN Sissako,248,404,17.0,61.386138613861384,14.588235294117647
MM Ali,670,463,32.0,144.70842332613393,20.9375
MM Baig,112,98,6.0,114.28571428571428,18.666666666666668
MM Chaudhary,14,39,4.0,35.8974358974359,3.5
MM Dekeling,21,38,5.0,55.26315789473685,4.2
MM Lanning,1473,1247,36.0,118.12349639133922,40.916666666666664
MM Mabathoana,6,31,5.0,19.35483870967742,1.2
MM Patel,0,1,1.0,0.0,0.0
MM Penfold,3,7,1.0,42.857142857142854,3.0
MM Sarwar,3,3,0.0,100.0,3.0
MM Sharma,0,5,0.0,0.0,0.0
MM Siddique,29,20,1.0,145.0,29.0
MMR Obili,14,28,3.0,50.0,4.666666666666667
MN Samuels,898,734,31.0,122.34332425068119,28.967741935483872
MN Waller,365,254,11.0,143.7007874015748,33.18181818181818
MN van Wyk,136,95,3.0,143.1578947368421,45.333333333333336
MNK Fernando,1,3,1.0,33.33333333333333,1.0
MNM Aslam,279,298,22.0,93.6241610738255,12.681818181818182
MNR Cooray,59,43,1.0,137.2093023255814,59.0
MO Bacarese,24,39,2.0,61.53846153846154,12.0
MO Jones,43,58,4.0,74.13793103448276,10.75
MO Kain,42,20,2.0,210.0,21.0
MO Kitunda,154,210,19.0,73.33333333333333,8.105263157894736
MP Ainsworth,176,229,8.0,76.85589519650655,22.0
MP Biddappa,2,22,2.0,9.090909090909092,1.0
MP Breetzke,25,34,6.0,73.52941176470588,4.166666666666667
MP Enright,21,47,2.0,44.680851063829785,10.5
MP O'Dowd,1303,1085,41.0,120.09216589861751,31.78048780487805
MP Stoinis,585,425,20.0,137.64705882352942,29.25
MP Vaughan,0,1,1.0,0.0,0.0
MP Yadav,1,1,0.0,100.0,1.0
MPGT Ketiyage,279,221,8.0,126.2443438914027,34.875
MPM Pathirannehelage,83,113,4.0,73.45132743362832,20.75
MPP San,60,136,13.0,44.11764705882353,4.615384615384615
MPS Cheema,58,68,6.0,85.29411764705883,9.666666666666666
MR Adair,326,264,23.0,123.48484848484848,14.173913043478262
MR Aguilleira,158,180,12.0,87.77777777777777,13.166666666666666
MR Dorgan,4,9,1.0,44.44444444444444,4.0
MR Gillespie,17,25,2.0,68.0,8.5
MR Kumar,19,28,2.0,67.85714285714286,9.5
MR Machado,7,36,3.0,19.444444444444446,2.3333333333333335
MR Marsh,548,424,20.0,129.24528301886792,27.4
MR Meshram,73,102,5.0,71.56862745098039,14.6
MR Montfort,1,2,0.0,50.0,1.0
MR Swart,352,289,12.0,121.79930795847751,29.333333333333332
MRJ Watt,219,190,16.0,115.26315789473685,13.6875
MS Atapattu,5,8,1.0,62.5,5.0
MS Beresford,5,11,1.0,45.45454545454545,5.0
MS Chapman,1037,791,39.0,131.0998735777497,26.58974358974359
MS Dhoni,931,784,30.0,118.75,31.033333333333335
MS Diakite,15,42,6.0,35.714285714285715,2.5
MS Diawara,2,7,3.0,28.57142857142857,0.6666666666666666
MS Graham,3,12,2.0,25.0,1.5
MS Maker,125,98,1.0,127.55102040816327,125.0
MS Wade,618,453,21.0,136.42384105960267,29.428571428571427
MSC Erasito,9,23,2.0,39.130434782608695,4.5
MSF Tedjui,3,4,1.0,75.0,3.0
MSN Ekani,116,235,10.0,49.361702127659576,11.6
MT Diaby,13,18,3.0,72.22222222222221,4.333333333333333
MT Jacob,6,9,1.0,66.66666666666666,6.0
MT Waqanisau,0,2,1.0,0.0,0.0
MTMMJ Ave,62,58,3.0,106.89655172413792,20.666666666666668
MV Boucher,97,104,6.0,93.26923076923077,16.166666666666668
MV Fare,1,2,0.0,50.0,1.0
MV Lehmann,6,21,2.0,28.57142857142857,3.0
MV Matsau,3,14,3.0,21.428571428571427,1.0
MV Pavlovic,3,17,3.0,17.647058823529413,1.0
MV Waldron,169,221,15.0,76.47058823529412,11.266666666666667
MW Forde,48,34,4.0,141.1764705882353,12.0
MW Machan,144,117,2.0,123.07692307692308,72.0
MW Parkinson,5,4,1.0,125.0,5.0
MW Short,196,123,7.0,159.34959349593495,28.0
MWR Stokes,271,270,13.0,100.37037037037038,20.846153846153847
MY Bawa,5,5,1.0,100.0,5.0
Ma Qiancheng,2,21,2.0,9.523809523809524,1.0
Ma Ruike,16,31,2.0,51.61290322580645,8.0
Maaha Naseer,0,1,1.0,0.0,0.0
Maaz Khan,96,79,6.0,121.51898734177216,16.0
Mabsar Abdulla,11,23,1.0,47.82608695652174,11.0
Madeeha Zuberi,3,3,0.0,100.0,3.0
Madhawa Basnayaka,21,26,3.0,80.76923076923077,7.0
Mah Noor,0,6,1.0,0.0,0.0
Mah Noor Amir,1,15,3.0,6.666666666666667,0.3333333333333333
Mahedi Hasan,225,239,19.0,94.14225941422593,11.842105263157896
Mahirah Izzati Ismail,231,351,20.0,65.8119658119658,11.55
Mahmad Data,0,1,1.0,0.0,0.0
Mahmud Jasat,136,189,9.0,71.95767195767195,15.11111111111111
Mahmudul Hasan Joy,5,10,1.0,50.0,5.0
Mahmudullah,1205,1036,46.0,116.31274131274132,26.195652173913043
Mahnoor Akram,8,13,1.0,61.53846153846154,8.0
Mahnoor Mahmood,0,3,1.0,0.0,0.0
Mahrukh Imtiaz,1,8,1.0,12.5,1.0
Maidul Islam,112,126,5.0,88.88888888888889,22.4
Maira Khan,14,46,1.0,30.434782608695656,14.0
Malyun Hassan,2,6,1.0,33.33333333333333,2.0
Malyun Yusuf,5,5,0.0,100.0,5.0
Mamoon Latif,38,41,4.0,92.6829268292683,9.5
Manal Malik,0,12,1.0,0.0,0.0
Manan Ali,400,278,15.0,143.88489208633092,26.666666666666668
Manan Bashir,139,75,6.0,185.33333333333331,23.166666666666668
Mandeep Singh,63,61,4.0,103.27868852459017,15.75
Manish Sharma,16,40,3.0,40.0,5.333333333333333
Manoj Adhikari,14,19,2.0,73.68421052631578,7.0
Manpreet Singh,827,687,34.0,120.37845705967977,24.323529411764707
Mansi Parmar,1,1,0.0,100.0,1.0
Mansoor Malangzai,28,17,1.0,164.70588235294116,28.0
Mansoor Safi,124,63,5.0,196.8253968253968,24.8
Manuel Iturbe,27,35,3.0,77.14285714285715,9.0
Maqsood Ahmad,13,19,1.0,68.42105263157895,13.0
Marcelle Hanekom,74,92,5.0,80.43478260869566,14.8
Maria Jasvi,40,117,13.0,34.18803418803419,3.076923076923077
Mariam Hasan,1,2,1.0,50.0,1.0
Mariam Waseem,1,6,1.0,16.666666666666664,1.0
Mariamma Hyder,82,172,11.0,47.674418604651166,7.454545454545454
Marina Iqbal,145,183,7.0,79.23497267759562,20.714285714285715
Mario Ovalle,2,8,1.0,25.0,2.0
Mariska Kornet,0,10,1.0,0.0,0.0
Marufa Akter,1,9,1.0,11.11111111111111,1.0
Maryam Omar,232,369,18.0,62.87262872628726,12.88888888888889
Maryyam Ashraf,37,38,7.0,97.36842105263158,5.285714285714286
Maryyam Sheikh,0,1,1.0,0.0,0.0
Mas Elysa,883,971,31.0,90.93717816683831,28.483870967741936
Mashael Waqas,6,34,2.0,17.647058823529413,3.0
Mashrafe Mortaza,98,74,11.0,132.43243243243242,8.909090909090908
Masood Jayezeh,1,5,1.0,20.0,1.0
Mazhar Khan,9,26,2.0,34.61538461538461,4.5
Mazharul Islam,73,73,3.0,100.0,24.333333333333332
Md Ariyan,135,96,6.0,140.625,22.5
Md Shafiqul Haque,50,47,2.0,106.38297872340425,25.0
Md Shuayeb,5,28,2.0,17.857142857142858,2.5
Meet Ahir,24,34,2.0,70.58823529411765,12.0
Meet Bhavsar,632,499,22.0,126.65330661322645,28.727272727272727
Meghna Rajan,174,159,2.0,109.43396226415094,87.0
Meghna Singh,0,1,1.0,0.0,0.0
Mehak Thakur,1,1,0.0,100.0,1.0
Mehboob Ali,175,91,7.0,192.30769230769232,25.0
Mehedi Hasan Miraz,267,232,15.0,115.08620689655173,17.8
Mehrab Hossain jnr,10,19,1.0,52.63157894736842,10.0
Mehran Khan,144,127,13.0,113.38582677165354,11.076923076923077
Mehran Siasar,0,3,1.0,0.0,0.0
Melanie Ani,24,46,2.0,52.17391304347826,12.0
Mengting Liu,11,29,6.0,37.93103448275862,1.8333333333333333
Merwais Shinwari,12,23,2.0,52.17391304347826,6.0
Mia Arda,8,22,1.0,36.36363636363637,8.0
Mian Mehmood,18,21,1.0,85.71428571428571,18.0
Mihir Patel,2,2,1.0,100.0,2.0
Milad Momend,0,1,1.0,0.0,0.0
Milind Kumar,133,138,4.0,96.37681159420289,33.25
Mirab Razwan,30,51,7.0,58.82352941176471,4.285714285714286
Mirab Sajjad,10,14,3.0,71.42857142857143,3.3333333333333335
Miria Raio,2,15,3.0,13.333333333333334,0.6666666666666666
Mirza Ahmed,1,1,0.0,100.0,1.0
Mirza Ahsan,183,127,11.0,144.09448818897638,16.636363636363637
Mirza Baig,32,20,1.0,160.0,32.0
Misbah-ul-Haq,353,309,9.0,114.23948220064726,39.22222222222222
Mobashar Ashraf,2,5,1.0,40.0,2.0
Moe Ei Phyu,0,2,1.0,0.0,0.0
Mofassar Saeed,17,20,1.0,85.0,17.0
Mohamed Arief,120,103,6.0,116.50485436893203,20.0
Mohamed Azzam,124,179,12.0,69.27374301675978,10.333333333333334
Mohamed Coulibaly,16,58,6.0,27.586206896551722,2.6666666666666665
Mohamed Fadiga,0,4,1.0,0.0,0.0
Mohamed Ishmath,0,2,1.0,0.0,0.0
Mohamed Khan,0,2,2.0,0.0,0.0
Mohamed Mahfooz,30,48,2.0,62.5,15.0
Mohamed Miuvaan,0,1,1.0,0.0,0.0
Mohamed Rishwan,188,212,14.0,88.67924528301887,13.428571428571429
Mohamed Shafeeq,20,23,7.0,86.95652173913044,2.857142857142857
Mohamed Shiyam,0,8,1.0,0.0,0.0
Mohamed Turay,5,5,0.0,100.0,5.0
Mohameed Taiwo,71,107,15.0,66.35514018691589,4.733333333333333
Mohammad Aadil Alam,96,72,6.0,133.33333333333331,16.0
Mohammad Abrar,8,7,0.0,114.28571428571428,8.0
Mohammad Ahnaff,111,108,6.0,102.77777777777777,18.5
Mohammad Ahsan,4,8,1.0,50.0,4.0
Mohammad Ali,1,1,0.0,100.0,1.0
Mohammad Amin,45,33,2.0,136.36363636363635,22.5
Mohammad Amir,50,59,7.0,84.7457627118644,7.142857142857143
Mohammad Asaduzzaman,1,1,0.0,100.0,1.0
Mohammad Ashraful,76,64,8.0,118.75,9.5
Mohammad Ayaz,0,2,1.0,0.0,0.0
Mohammad Bhaidu,22,34,3.0,64.70588235294117,7.333333333333333
Mohammad Boota,88,81,3.0,108.64197530864197,29.333333333333332
Mohammad Ghazanfar,7,7,0.0,100.0,7.0
Mohammad Hafeez,1516,1221,49.0,124.16052416052416,30.93877551020408
Mohammad Haris,291,248,20.0,117.33870967741935,14.55
Mohammad Hasnain,4,11,0.0,36.36363636363637,4.0
Mohammad Ihsan,487,286,9.0,170.27972027972027,54.111111111111114
Mohammad Irfan,1,3,0.0,33.33333333333333,1.0
Mohammad Kamran,35,44,4.0,79.54545454545455,8.75
Mohammad Mithun,75,69,3.0,108.69565217391303,25.0
Mohammad Nadeem,381,386,20.0,98.70466321243524,19.05
Mohammad Naim,442,445,19.0,99.32584269662922,23.263157894736842
Mohammad Naveed,94,78,8.0,120.51282051282051,11.75
Mohammad Nawaz,329,259,21.0,127.02702702702702,15.666666666666666
Mohammad Nawaz (3),27,41,5.0,65.85365853658537,5.4
Mohammad Rizlan,100,101,6.0,99.00990099009901,16.666666666666668
Mohammad Rizwan,1793,1408,33.0,127.34375,54.333333333333336
Mohammad Saifuddin,45,23,3.0,195.65217391304347,15.0
Mohammad Sami,8,18,1.0,44.44444444444444,8.0
Mohammad Shahzad,104,100,6.0,104.0,17.333333333333332
Mohammad Tauqir,4,6,1.0,66.66666666666666,4.0
Mohammad Usman,9,18,1.0,50.0,9.0
Mohammad Wasim,19,28,3.0,67.85714285714286,6.333333333333333
Mohammad Yousuf,30,24,2.0,125.0,15.0
Mohammed Alamgir,34,17,1.0,200.0,34.0
Mohammed Awais,2,4,1.0,50.0,2.0
Mohammed Faraazuddin,0,3,1.0,0.0,0.0
Mohammed Irshad,55,45,4.0,122.22222222222223,13.75
Mohammed Jimia,28,54,3.0,51.85185185185185,9.333333333333334
Mohammed Nadeem,1,3,1.0,33.33333333333333,1.0
Mohammed Qasim,25,31,2.0,80.64516129032258,12.5
Mohammed Shami,0,6,1.0,0.0,0.0
Mohammed Siraj,9,9,2.0,100.0,4.5
Mohmedazim Abbasbhai,26,29,2.0,89.65517241379311,13.0
Mohsin Shabbir,0,2,1.0,0.0,0.0
Mohsin Zaki,1,1,0.0,100.0,1.0
Mokbul Ahammed,5,18,1.0,27.77777777777778,5.0
Mominul Haque,9,9,1.0,100.0,9.0
Mongdara Sok,1,2,1.0,50.0,1.0
Mosaddek Hossain,182,167,9.0,108.9820359281437,20.22222222222222
Moshiur Rahman,7,16,1.0,43.75,7.0
Mounica Chowdary,4,25,1.0,16.0,4.0
Mrittunjoy Chowdhury,4,11,1.0,36.36363636363637,4.0
Mudassar Bukhari,86,90,6.0,95.55555555555556,14.333333333333334
Mudassar Muhammad,23,34,1.0,67.64705882352942,23.0
Mudassir Iqbal,11,25,3.0,44.0,3.6666666666666665
Muhammad Ajmal,5,9,1.0,55.55555555555556,5.0
Muhammad Amin,77,78,6.0,98.71794871794873,12.833333333333334
Muhammad Amir,354,346,20.0,102.3121387283237,17.7
Muhammad Arfan,27,20,1.0,135.0,27.0
Muhammad Asim,351,291,11.0,120.61855670103093,31.90909090909091
Muhammad Burhan,43,33,6.0,130.3030303030303,7.166666666666667
Muhammad Fahad,211,90,4.0,234.44444444444446,52.75
Muhammad Fahim,5,9,2.0,55.55555555555556,2.5
Muhammad Farooq,5,4,1.0,125.0,5.0
Muhammad Haziq Aiman,177,103,2.0,171.84466019417474,88.5
Muhammad Jabir,0,8,2.0,0.0,0.0
Muhammad Jawadullah,1,5,1.0,20.0,1.0
Muhammad Kaleem,59,72,4.0,81.94444444444444,14.75
Muhammad Kashif,103,69,3.0,149.27536231884056,34.333333333333336
Muhammad Khan,0,6,1.0,0.0,0.0
Muhammad Moiz,49,34,6.0,144.11764705882354,8.166666666666666
Muhammad Muneeb,377,361,17.0,104.43213296398892,22.176470588235293
Muhammad Murad,20,29,2.0,68.96551724137932,10.0
Muhammad Nadir,75,82,6.0,91.46341463414635,12.5
Muhammad Naeem,67,76,4.0,88.1578947368421,16.75
Muhammad Rohid,2,2,0.0,100.0,2.0
Muhammad Saleem,28,18,1.0,155.55555555555557,28.0
Muhammad Saqlain,0,5,1.0,0.0,0.0
Muhammad Shoaib Ahmed,82,78,4.0,105.12820512820514,20.5
Muhammad Siddiqui,110,90,5.0,122.22222222222223,22.0
Muhammad Tahir,3,11,1.0,27.27272727272727,3.0
Muhammad Tanveer,480,402,14.0,119.40298507462686,34.285714285714285
Muhammad Umar,103,89,6.0,115.73033707865167,17.166666666666668
Muhammad Usman,574,435,24.0,131.95402298850573,23.916666666666668
Muhammad Usman (3),29,21,0.0,138.0952380952381,29.0
Muhammad Wafiq,27,34,4.0,79.41176470588235,6.75
Muhammad Yasin,67,77,5.0,87.01298701298701,13.4
Muhammad Younis,71,62,5.0,114.51612903225808,14.2
Muhammad Zafar Khan,4,10,1.0,40.0,4.0
Muhammad Zohaib,73,69,3.0,105.79710144927536,24.333333333333332
Muhammed Basil,6,14,2.0,42.857142857142854,3.0
Muhammed Imran,1,2,1.0,50.0,1.0
Muhammed Manga,145,185,6.0,78.37837837837837,24.166666666666668
Muhammed Turkmen,23,13,1.0,176.9230769230769,23.0
Muhammet Bicer,0,4,2.0,0.0,0.0
Muhammet Kursat,0,8,0.0,0.0,0.0
Mujeeb-ur-Rehman,70,65,4.0,107.6923076923077,17.5
Mujibur Ali,26,35,3.0,74.28571428571429,8.666666666666666
Mukesh Kumar,4,1,0.0,400.0,4.0
Mukhtar Ahmed,43,48,3.0,89.58333333333334,14.333333333333334
Mukhtar Ghulami,197,199,13.0,98.99497487437185,15.153846153846153
Muneeba Ali,793,811,33.0,97.78051787916154,24.03030303030303
Munim Shahriar,2,3,1.0,66.66666666666666,2.0
Murat Ipek,0,1,1.0,0.0,0.0
Murat Yilmaz,15,35,4.0,42.857142857142854,3.75
Murid Ekrami,61,68,7.0,89.70588235294117,8.714285714285714
Murshida Khatun,572,623,20.0,91.81380417335474,28.6
Musa Shaheen,129,134,8.0,96.26865671641791,16.125
Musaddiq Ahmed,168,95,4.0,176.8421052631579,42.0
Musawar Shah,1,1,0.0,100.0,1.0
Musfirah Nur Ainaa,0,3,1.0,0.0,0.0
Mushfiqur Rahim,542,496,35.0,109.2741935483871,15.485714285714286
Muskan Naseeb,0,5,2.0,0.0,0.0
Muslim Yar,77,74,8.0,104.05405405405406,9.625
Mustafa Balkis,0,3,1.0,0.0,0.0
Mustafa Omer,37,52,4.0,71.15384615384616,9.25
Mustafizur Rahman,21,50,8.0,42.0,2.625
Mustapha Suwareh,10,26,4.0,38.46153846153847,2.5
Mustapha Yusuf,16,18,2.0,88.88888888888889,8.0
Mutaiba Ansar,1,7,1.0,14.285714285714285,1.0
Muzahir Raza,13,7,0.0,185.71428571428572,13.0
Muzammil Shahzad,1,6,1.0,16.666666666666664,1.0
Myat Thu Aung,25,53,2.0,47.16981132075472,12.5
N Acawei,23,22,2.0,104.54545454545455,11.5
N Advani,2,9,2.0,22.22222222222222,1.0
N Ahir,51,72,2.0,70.83333333333334,25.5
N Asuramanage,5,5,1.0,100.0,5.0
N Benjamin,35,42,1.0,83.33333333333334,35.0
N Boochatham,588,720,44.0,81.66666666666667,13.363636363636363
N Burger,9,18,2.0,50.0,4.5
N Caruana,171,298,6.0,57.38255033557047,28.5
N Chaihan,6,10,2.0,60.0,3.0
N Chaiwai,860,1023,39.0,84.06647116324535,22.05128205128205
N Chantam,963,985,38.0,97.76649746192894,25.342105263157894
N Chejay,72,91,5.0,79.12087912087912,14.4
N Choden,230,403,18.0,57.07196029776674,12.777777777777779
N D'souza,17,38,4.0,44.73684210526316,4.25
N Davidovic,16,7,1.0,228.57142857142856,16.0
N Davin,429,335,18.0,128.05970149253733,23.833333333333332
N Deonarine,52,50,2.0,104.0,26.0
N Dickwella,160,137,11.0,116.7883211678832,14.545454545454545
N Dutta,24,13,3.0,184.6153846153846,8.0
N Gallagher,12,25,1.0,48.0,12.0
N Gnanapragasam,0,3,1.0,0.0,0.0
N Gocheva,0,3,1.0,0.0,0.0
N Greig,0,1,1.0,0.0,0.0
N Gumaliyele,4,10,1.0,40.0,4.0
N Gwanzura,37,53,8.0,69.81132075471697,4.625
N Gwebu,10,21,3.0,47.61904761904761,3.3333333333333335
N Hirani,19,11,1.0,172.72727272727272,19.0
N Ila,3,3,0.0,100.0,3.0
N Jagadish,6,13,1.0,46.15384615384615,6.0
N Joshi,83,100,6.0,83.0,13.833333333333334
N Kakor,1,1,0.0,100.0,1.0
N Katechis,3,7,0.0,42.857142857142854,3.0
N Khanna,119,91,5.0,130.76923076923077,23.8
N Khumalo,0,1,1.0,0.0,0.0
N Kingsley,110,100,8.0,110.00000000000001,13.75
N Knights,52,69,7.0,75.36231884057972,7.428571428571429
N Koncharoenkai,1205,1232,42.0,97.80844155844156,28.69047619047619
N Krishna,15,21,2.0,71.42857142857143,7.5
N Kuruppu,10,23,2.0,43.47826086956522,5.0
N Laguea,27,32,2.0,84.375,13.5
N Liyanage,9,16,1.0,56.25,9.0
N M'shangwe,5,3,0.0,166.66666666666669,5.0
N Mabila,2,18,3.0,11.11111111111111,0.6666666666666666
N Madziva,7,10,2.0,70.0,3.5
N Mamba,2,7,1.0,28.57142857142857,2.0
N Mapunda,15,21,1.0,71.42857142857143,15.0
N Master,21,17,1.0,123.52941176470588,21.0
N Mlaba,5,16,2.0,31.25,2.5
N Mugabe,144,138,5.0,104.34782608695652,28.8
N Nankov,1,6,1.0,16.666666666666664,1.0
N Naranbaatar,0,12,1.0,0.0,0.0
N Navaika,195,277,11.0,70.3971119133574,17.727272727272727
N Ndouteng,0,1,0.0,0.0,0.0
N Nipiko,317,317,16.0,100.0,19.8125
N Niranjana,27,26,4.0,103.84615384615385,6.75
N Nojic,7,10,2.0,70.0,3.5
N Nuntarach,96,175,13.0,54.85714285714286,7.384615384615385
N Pathan,95,89,5.0,106.74157303370787,19.0
N Patron Fuentes,8,9,2.0,88.88888888888889,4.0
N Peter,10,12,1.0,83.33333333333334,10.0
N Pokana,12,20,0.0,60.0,12.0
N Pooran,999,804,41.0,124.25373134328359,24.365853658536587
N Pradeep,2,4,1.0,50.0,2.0
N Rana,15,30,2.0,50.0,7.5
